X1_Sector,X2_Capital_Inicial,X3_Antiguedad,X4_Digitalizacion,X5_Costos_Op,X6_Activos_Fijos,X7_Credito,X8_Competencia,X9_Capacidad,X10_Marketing,Y_Rentabilidad,X11_Ingresos_Totales
72_Restaurantes,1476514.1,6,0.674034449,123225.8104,930490.8869,0,5,49.48219015,2631.459076,19.23876343,155838.7103
81_Servicios,262901.8524,2,0.800805828,83664.0913,209707.812,0,9,91.88994789,6198.568284,5.739691003,95334.56928
46_Comercio,889833.5375,7,0.614998826,237891.6434,569252.7436,1,6,47.90999009,5790.93817,11.58027002,275597.5184
46_Comercio,673750.2055,21,0.264838848,291317.0391,463282.6045,0,6,99.32543441,7009.673818,25.10054701,398302.9262
81_Servicios,246082.282,25,0.48993691,70295.9166,159792.2038,1,3,81.06747604,5330.166601,7.793098041,82017.81168
46_Comercio,1054041.353,12,0.372533457,141702.297,618229.6002,0,10,72.49957295,9477.346501,11.7530858,171314.3682
81_Servicios,268279.3315,8,0.638181542,19208.60215,176221.3934,1,2,88.6842917,399.9529553,21.84790875,25090.25004
81_Servicios,387878.6117,11,0.243789729,29289.71981,223098.0177,0,7,86.13672528,2508.069981,21.66126185,40590.12251
81_Servicios,218454.5404,25,0.626130004,45780.58595,164929.7956,0,3,78.74286773,3412.818523,14.5273067,57554.52715
81_Servicios,136749.234,10,0.851762746,56784.12421,76458.9238,1,5,67.55908696,3554.985116,10.27162173,67246.40576
46_Comercio,1203674.781,10,0.595478599,126137.514,696952.8512,0,8,75.43620937,9499.589913,21.79116419,173429.3862
46_Comercio,536892.8251,14,0.432394717,449457.56,403792.3758,0,8,53.11794885,6798.911519,24.44507858,603873.9276
46_Comercio,1140662.061,13,0.772320265,85378.22045,604389.9847,0,10,97.06571765,4630.312704,6.27822868,96038.01964
46_Comercio,483388.1802,23,0.544420054,224959.8989,329331.3925,0,2,56.9237007,15291.18542,21.32684725,305378.7422
72_Restaurantes,1721956.139,25,0.690400345,104131.5116,880307.0557,1,2,67.34226855,9264.348474,6.336356123,121067.1029
72_Restaurantes,1155030.466,7,0.264590141,72973.87967,725054.2887,1,5,40.09116533,5797.529621,22.01696721,101010.959
46_Comercio,583043.2058,14,0.433273782,229672.986,332563.1607,0,3,82.02576637,4607.079603,15.50352541,277266.0832
72_Restaurantes,1064259.548,7,0.785136217,229398.1078,777049.9462,0,8,84.73597016,2814.690654,14.22003867,270707.5112
46_Comercio,753470.4168,18,0.592580843,143427.1127,576922.5917,0,6,41.54081583,8471.399983,17.96634068,185166.0817
72_Restaurantes,598984.0027,13,0.317015074,153573.2716,435688.5703,1,6,51.92872879,4936.888694,23.14924351,206257.1242
81_Servicios,183240.0124,18,0.855558527,28993.0326,120607.7847,0,9,95.15908749,1423.827457,16.37722811,36373.89598
